,id,name,popularity
405,488,Steven Spielberg,7.205305
406,18898,Rob Minkoff,0.139936
407,24,Robert Zemeckis,1.619012
408,10491,Paul Verhoeven,0.714402
409,2226,Sydney Pollack,1.798429
410,109857,Thor Freudenthal,1.962081
411,2209,Jan de Bont,0.927403
412,54507,Jon M. Chu,0.640245
413,13015,Phillip Noyce,0.192108
414,893,Tony Scott,1.587386
415,1150,Brian De Palma,1.7733
416,5714,Carlos Saldanha,0.652966
417,10965,Chris Columbus,1.358227
418,8843,Mick Jackson,1.485044
419,6349,Alan J. Pakula,0.003958
420,14392,Kathryn Bigelow,2.276365
421,8328,John Milius,1.251038
422,6159,Ron Howard,5.661356
423,58728,Andrei Konchalovsky,1.572651
424,23964,Gary Ross,0.230347
425,2209,Jan de Bont,0.927403
426,24,Robert Zemeckis,1.619012
427,20629,George Miller,1.184464
428,25598,Paul Greengrass,1.532249
429,5231,Wolfgang Petersen,1.303007
430,1884,Steven Soderbergh,2.429935
431,4014,Paul W.S. Anderson,2.267087
432,185438,Genndy Tartakovsky,0.260518
433,15775,Kevin Lima,0.306153
434,125738,Daniel Espinosa,0.359645
435,15775,Kevin Lima,0.306153
436,11091,Brett Ratner,1.590795
437,17698,Nancy Meyers,0.021262
438,893,Tony Scott,1.587386
439,17698,Nancy Meyers,0.021262
440,1884,Steven Soderbergh,2.429935
441,7881,Jill Culton,0.000172
442,15812,Roger Allers,0.043574
443,52691,Anthony Stacchi,0.093551
444,17329,Neil Burger,0.827558
445,2352,Jean-Jacques Annaud,0.042233
446,36602,Peter Berg,1.664985
447,1090,John McTiernan,1.540545
448,17633,Rob Marshall,2.794131
449,58189,Justin Lin,1.236449
450,66191,Barry Cook,0.000143
451,208113,Sarah Smith,0.000413
452,769,Martin Brest,0.307971
453,12989,Andrew Davis,3.099247
454,66777,Bob Fosse,0.098784
455,56512,Tarsem Singh,1.259492
456,11090,Edgar Wright,2.085447
457,15148,Jon Amiel,0.006111
458,13426,Peter Segal,0.071184
459,1215,Raja Gosnell,0.82312
460,43141,Pete Travis,0.003371
461,57370,Frank Coraci,0.752279
462,14999,George A. Romero,1.46804
463,132876,Brad Peyton,1.055833
464,11694,Doug Liman,2.249579
465,10828,Guillermo del Toro,2.922735
466,7467,David Fincher,5.204688
467,1724,Roger Spottiswoode,0.631155
468,4499,Tom Shadyac,0.260844
469,16483,Sylvester Stallone,8.997493
470,1150,Brian De Palma,1.7733
471,23964,Gary Ross,0.230347
472,57130,Todd Phillips,0.064667
473,510,Tim Burton,2.560796
474,52845,Karey Kirkpatrick,0.19301
475,52870,Tim Johnson,0.055587
476,66193,Chris Sanders,0.791216
477,69797,Dean DeBlois,0.051889
478,17046,Gary Winick,0.003254
479,51984,Mimi Leder,0.112759
480,15002,Dean Parisot,0.026818
481,13426,Peter Segal,0.071184
482,64151,Mike Mitchell,0.088067
483,17494,Dennis Dugan,2.345035
484,13426,Peter Segal,0.071184
485,17698,Nancy Meyers,0.021262
486,1032,Martin Scorsese,5.09931
487,71600,Seth Gordon,1.062918
488,5713,Chris Wedge,1.833334
489,5714,Carlos Saldanha,0.652966
490,11401,John Woo,1.04364
491,20739,Adam Shankman,0.654678
492,39,Sam Mendes,2.667
493,17494,Dennis Dugan,2.345035
494,12786,Simon West,1.826532
495,40256,D.J. Caruso,0.860601
496,2239,Anthony Minghella,0.02183
497,11447,Albert Hughes,0.929029
498,11448,Allen Hughes,0.026785
499,56911,Les Mayfield,0.000114
500,2209,Jan de Bont,0.927403
501,23677,Joe Pytka,7.8e-05
502,17825,Shawn Levy,0.889116
503,55499,Scott Derrickson,1.076629
504,7187,Richard Donner,0.734465
505,19769,David Ayer,2.330581
506,8858,Ivan Reitman,0.496864
507,9622,Eric Brevig,1.01905
508,12079,Kelly Asbury,0.174497
509,56660,Lorna Cook,0.000134
510,57370,Frank Coraci,0.752279
511,2042,Stephen Hopkins,0.194107
512,16294,Jonathan Demme,1.046851
513,117075,Henry Jaglom,0.021092
514,185438,Genndy Tartakovsky,0.260518
515,5690,James Algar,2e-06
516,12824,Don Hahn,0.028801
517,56146,Gaëtan Brizzi,5.1e-05
518,56147,Paul Brizzi,0.000101
